pos	country_code	source	date	country_code3	region	variable	value	sdr_id	sdr_name	sdr_level
1218	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kono	"cumulative deaths probable"	0	8630	Kono	ADM2
1219	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kambia	"cumulative deaths probable"	0	8627	Kambia	ADM2
1220	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Koinadugu	"cumulative deaths probable"	0	8629	Koinadugu	ADM2
1221	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Bombali	"cumulative deaths probable"	0	8623	Bombali	ADM2
1222	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Tonkolili	"cumulative deaths probable"	0	8634	Tonkolili	ADM2
1223	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	"Port Loko"	"cumulative deaths probable"	0	8632	"Port Loko"	ADM2
1224	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Pujehun	"cumulative deaths probable"	0	8633	Pujehun	ADM2
1225	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Bo	"cumulative deaths probable"	0	8625	Bo	ADM2
1226	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Moyamba	"cumulative deaths probable"	0	8631	Moyamba	ADM2
1227	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Bonthe	"cumulative deaths probable"	0	8624	Bonthe	ADM2
1228	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	"Western area urban"	"cumulative deaths probable"	0	149745	"Western Area Urban"	ADM2
1229	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	"Western area rural"	"cumulative deaths probable"	208	149746	"Western Area Rural"	ADM2
1230	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	National	"cumulative deaths confirmed"	0	0		
1231	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kailahun	"cumulative deaths confirmed"	0	8626	Kailahun	ADM2
1232	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kenema	"cumulative deaths confirmed"	0	8628	Kenema	ADM2
1233	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kono	"cumulative deaths confirmed"	0	8630	Kono	ADM2
1234	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kambia	"cumulative deaths confirmed"	0	8627	Kambia	ADM2
1235	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Koinadugu	"cumulative deaths confirmed"	0	8629	Koinadugu	ADM2
1236	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Bombali	"cumulative deaths confirmed"	0	8623	Bombali	ADM2
1237	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Tonkolili	"cumulative deaths confirmed"	0	8634	Tonkolili	ADM2
1238	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	"Port Loko"	"cumulative deaths confirmed"	0	8632	"Port Loko"	ADM2
1239	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Pujehun	"cumulative deaths confirmed"	0	8633	Pujehun	ADM2
1240	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Bo	"cumulative deaths confirmed"	0	8625	Bo	ADM2
1241	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Moyamba	"cumulative deaths confirmed"	0	8631	Moyamba	ADM2
1242	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Bonthe	"cumulative deaths confirmed"	0	8624	Bonthe	ADM2
1243	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	"Western area urban"	"cumulative deaths confirmed"	0	149745	"Western Area Urban"	ADM2
1244	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	"Western area rural"	"cumulative deaths confirmed"	1169	149746	"Western Area Rural"	ADM2
1245	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	National	"case fatality rate"	0	0		
1246	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kailahun	"case fatality rate"	0	8626	Kailahun	ADM2
1247	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kenema	"case fatality rate"	0	8628	Kenema	ADM2
1248	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kono	"case fatality rate"	0	8630	Kono	ADM2
1249	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kambia	"case fatality rate"	0	8627	Kambia	ADM2
1250	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Koinadugu	"case fatality rate"	0	8629	Koinadugu	ADM2
1251	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Bombali	"case fatality rate"	0	8623	Bombali	ADM2
1252	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Tonkolili	"case fatality rate"	0	8634	Tonkolili	ADM2
1253	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	"Port Loko"	"case fatality rate"	0	8632	"Port Loko"	ADM2
1254	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Pujehun	"case fatality rate"	0	8633	Pujehun	ADM2
1255	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Bo	"case fatality rate"	0	8625	Bo	ADM2
1256	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Moyamba	"case fatality rate"	0	8631	Moyamba	ADM2
1257	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Bonthe	"case fatality rate"	0	8624	Bonthe	ADM2
1258	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	"Western area urban"	"case fatality rate"	0	149745	"Western Area Urban"	ADM2
1259	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	"Western area rural"	"case fatality rate"	0	149746	"Western Area Rural"	ADM2
1260	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	National	"new admission (ETC)"	0	0		
1261	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kailahun	"new admission (ETC)"	0	8626	Kailahun	ADM2
1262	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kenema	"new admission (ETC)"	0	8628	Kenema	ADM2
1263	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kono	"new admission (ETC)"	0	8630	Kono	ADM2
1264	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kambia	"new admission (ETC)"	0	8627	Kambia	ADM2
1265	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Koinadugu	"new admission (ETC)"	0	8629	Koinadugu	ADM2
1266	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Bombali	"new admission (ETC)"	0	8623	Bombali	ADM2
1267	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Tonkolili	"new admission (ETC)"	0	8634	Tonkolili	ADM2
1268	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	"Port Loko"	"new admission (ETC)"	0	8632	"Port Loko"	ADM2
1269	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Pujehun	"new admission (ETC)"	0	8633	Pujehun	ADM2
1270	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Bo	"new admission (ETC)"	0	8625	Bo	ADM2
1271	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Moyamba	"new admission (ETC)"	0	8631	Moyamba	ADM2
1272	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Bonthe	"new admission (ETC)"	0	8624	Bonthe	ADM2
1273	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	"Western area urban"	"new admission (ETC)"	0	149745	"Western Area Urban"	ADM2
1274	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	"Western area rural"	"new admission (ETC)"	0	149746	"Western Area Rural"	ADM2
1275	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	National	"currently admitted (ETC)"	0	0		
1276	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kailahun	"currently admitted (ETC)"	0	8626	Kailahun	ADM2
1277	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kenema	"currently admitted (ETC)"	0	8628	Kenema	ADM2
1278	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kono	"currently admitted (ETC)"	0	8630	Kono	ADM2
1279	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kambia	"currently admitted (ETC)"	0	8627	Kambia	ADM2
1280	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Koinadugu	"currently admitted (ETC)"	0	8629	Koinadugu	ADM2
1281	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Bombali	"currently admitted (ETC)"	0	8623	Bombali	ADM2
1282	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Tonkolili	"currently admitted (ETC)"	0	8634	Tonkolili	ADM2
1283	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	"Port Loko"	"currently admitted (ETC)"	0	8632	"Port Loko"	ADM2
1284	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Pujehun	"currently admitted (ETC)"	0	8633	Pujehun	ADM2
1285	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Bo	"currently admitted (ETC)"	0	8625	Bo	ADM2
1286	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Moyamba	"currently admitted (ETC)"	0	8631	Moyamba	ADM2
1287	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Bonthe	"currently admitted (ETC)"	0	8624	Bonthe	ADM2
1288	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	"Western area urban"	"currently admitted (ETC)"	0	149745	"Western Area Urban"	ADM2
1289	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	"Western area rural"	"currently admitted (ETC)"	0	149746	"Western Area Rural"	ADM2
1290	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	National	"cumulative admissions (ETC)"	0	0		
1291	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kailahun	"cumulative admissions (ETC)"	0	8626	Kailahun	ADM2
1292	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kenema	"cumulative admissions (ETC)"	0	8628	Kenema	ADM2
1293	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kono	"cumulative admissions (ETC)"	0	8630	Kono	ADM2
1294	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kambia	"cumulative admissions (ETC)"	0	8627	Kambia	ADM2
1295	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Koinadugu	"cumulative admissions (ETC)"	0	8629	Koinadugu	ADM2
1296	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Bombali	"cumulative admissions (ETC)"	0	8623	Bombali	ADM2
1297	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Tonkolili	"cumulative admissions (ETC)"	0	8634	Tonkolili	ADM2
1298	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	"Port Loko"	"cumulative admissions (ETC)"	0	8632	"Port Loko"	ADM2
1299	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Pujehun	"cumulative admissions (ETC)"	0	8633	Pujehun	ADM2
1300	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Bo	"cumulative admissions (ETC)"	0	8625	Bo	ADM2
1301	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Moyamba	"cumulative admissions (ETC)"	0	8631	Moyamba	ADM2
1302	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Bonthe	"cumulative admissions (ETC)"	0	8624	Bonthe	ADM2
1303	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	"Western area urban"	"cumulative admissions (ETC)"	0	149745	"Western Area Urban"	ADM2
1304	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	"Western area rural"	"cumulative admissions (ETC)"	0	149746	"Western Area Rural"	ADM2
1305	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	National	"new deaths (ETC)"	0	0		
1306	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kailahun	"new deaths (ETC)"	0	8626	Kailahun	ADM2
1307	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kenema	"new deaths (ETC)"	0	8628	Kenema	ADM2
1308	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kono	"new deaths (ETC)"	0	8630	Kono	ADM2
1309	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kambia	"new deaths (ETC)"	0	8627	Kambia	ADM2
1310	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Koinadugu	"new deaths (ETC)"	0	8629	Koinadugu	ADM2
1311	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Bombali	"new deaths (ETC)"	0	8623	Bombali	ADM2
1312	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Tonkolili	"new deaths (ETC)"	0	8634	Tonkolili	ADM2
1313	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	"Port Loko"	"new deaths (ETC)"	0	8632	"Port Loko"	ADM2
1314	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Pujehun	"new deaths (ETC)"	0	8633	Pujehun	ADM2
1315	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Bo	"new deaths (ETC)"	0	8625	Bo	ADM2
1316	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Moyamba	"new deaths (ETC)"	0	8631	Moyamba	ADM2
1317	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Bonthe	"new deaths (ETC)"	0	8624	Bonthe	ADM2
1318	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	"Western area urban"	"new deaths (ETC)"	0	149745	"Western Area Urban"	ADM2
1319	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	"Western area rural"	"new deaths (ETC)"	0	149746	"Western Area Rural"	ADM2
1320	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	National	"total deaths (ETC)"	0	0		
1321	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kailahun	"total deaths (ETC)"	0	8626	Kailahun	ADM2
1322	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kenema	"total deaths (ETC)"	0	8628	Kenema	ADM2
1323	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kono	"total deaths (ETC)"	0	8630	Kono	ADM2
1324	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kambia	"total deaths (ETC)"	0	8627	Kambia	ADM2
1325	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Koinadugu	"total deaths (ETC)"	0	8629	Koinadugu	ADM2
1326	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Bombali	"total deaths (ETC)"	0	8623	Bombali	ADM2
1327	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Tonkolili	"total deaths (ETC)"	0	8634	Tonkolili	ADM2
1328	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	"Port Loko"	"total deaths (ETC)"	0	8632	"Port Loko"	ADM2
1329	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Pujehun	"total deaths (ETC)"	0	8633	Pujehun	ADM2
1330	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Bo	"total deaths (ETC)"	0	8625	Bo	ADM2
1331	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Moyamba	"total deaths (ETC)"	0	8631	Moyamba	ADM2
1332	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Bonthe	"total deaths (ETC)"	0	8624	Bonthe	ADM2
1333	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	"Western area urban"	"total deaths (ETC)"	0	149745	"Western Area Urban"	ADM2
1334	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	"Western area rural"	"total deaths (ETC)"	0	149746	"Western Area Rural"	ADM2
1335	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	National	"new discharges (ETC)"	0	0		
1336	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kailahun	"new discharges (ETC)"	0	8626	Kailahun	ADM2
1337	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kenema	"new discharges (ETC)"	0	8628	Kenema	ADM2
1338	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kono	"new discharges (ETC)"	0	8630	Kono	ADM2
1339	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kambia	"new discharges (ETC)"	0	8627	Kambia	ADM2
1340	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Koinadugu	"new discharges (ETC)"	0	8629	Koinadugu	ADM2
1341	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Bombali	"new discharges (ETC)"	0	8623	Bombali	ADM2
1342	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Tonkolili	"new discharges (ETC)"	0	8634	Tonkolili	ADM2
1343	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	"Port Loko"	"new discharges (ETC)"	0	8632	"Port Loko"	ADM2
1344	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Pujehun	"new discharges (ETC)"	0	8633	Pujehun	ADM2
1345	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Bo	"new discharges (ETC)"	0	8625	Bo	ADM2
1346	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Moyamba	"new discharges (ETC)"	0	8631	Moyamba	ADM2
1347	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Bonthe	"new discharges (ETC)"	0	8624	Bonthe	ADM2
1348	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	"Western area urban"	"new discharges (ETC)"	0	149745	"Western Area Urban"	ADM2
1349	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	"Western area rural"	"new discharges (ETC)"	0	149746	"Western Area Rural"	ADM2
1350	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	National	"total discharges (ETC)"	0	0		
1351	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kailahun	"total discharges (ETC)"	0	8626	Kailahun	ADM2
1352	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kenema	"total discharges (ETC)"	0	8628	Kenema	ADM2
1353	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kono	"total discharges (ETC)"	0	8630	Kono	ADM2
1354	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kambia	"total discharges (ETC)"	0	8627	Kambia	ADM2
1355	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Koinadugu	"total discharges (ETC)"	0	8629	Koinadugu	ADM2
1356	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Bombali	"total discharges (ETC)"	0	8623	Bombali	ADM2
1357	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Tonkolili	"total discharges (ETC)"	0	8634	Tonkolili	ADM2
1358	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	"Port Loko"	"total discharges (ETC)"	0	8632	"Port Loko"	ADM2
1359	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Pujehun	"total discharges (ETC)"	0	8633	Pujehun	ADM2
1360	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Bo	"total discharges (ETC)"	0	8625	Bo	ADM2
1361	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Moyamba	"total discharges (ETC)"	0	8631	Moyamba	ADM2
1362	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Bonthe	"total discharges (ETC)"	0	8624	Bonthe	ADM2
1363	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	"Western area urban"	"total discharges (ETC)"	0	149745	"Western Area Urban"	ADM2
1364	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	"Western area rural"	"total discharges (ETC)"	0	149746	"Western Area Rural"	ADM2
1365	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	National	"total contacts listed"	0	0		
1366	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kailahun	"total contacts listed"	0	8626	Kailahun	ADM2
1367	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kenema	"total contacts listed"	0	8628	Kenema	ADM2
1368	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kono	"total contacts listed"	0	8630	Kono	ADM2
1369	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Kambia	"total contacts listed"	0	8627	Kambia	ADM2
1370	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Koinadugu	"total contacts listed"	0	8629	Koinadugu	ADM2
1371	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Bombali	"total contacts listed"	0	8623	Bombali	ADM2
1372	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Tonkolili	"total contacts listed"	0	8634	Tonkolili	ADM2
1373	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	"Port Loko"	"total contacts listed"	0	8632	"Port Loko"	ADM2
1374	SL	"Government of Sierra Leone - Ministry of Health & Sanitation SitRep (Vol. 170)"	11/13/14	SLE	Pujehun	"total contacts listed"	0	8633	Pujehun	ADM2
